author,Contributing State,title,Publication Info, genre,Link to text
"Margaret Fuller, Margaret Fuller Ossoli, S. Margaret Fuller",Massachusetts,Woman in the Nineteenth Century,"London: G. Slater, 1850.",Essays,https://hdl.handle.net/2027/uc2.ark:/13960/t3st7rd5k
L. M. Alcott,Massachusetts,Work; A Story of Experience,"Boston: Roberts Brothers, 1873.",Novel, https://hdl.handle.net/2027/nc01.ark:/13960/t17m0p31j
M. M. Ripley,Massachusetts,"The World's Worship in Stone; Temple, Cathedral, and Mosque; One hundred and fifty engravings from the best artists","Boston: Estes and Lauriat, 1883.","History, Reference, Textbook",https://hdl.handle.net/2027/njp.32101073588582
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,All Sorts of Pop-Guns; Being the Third Book of the Series,"New York: Sheldon & Co., 1865.",Stories,https://hdl.handle.net/2027/umn.31951000895666w
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,The Big Nightcap Letters; Being the Fifth Book of the Series,"New York: D. Appleton & Co., 1861.",Stories,https://hdl.handle.net/2027/njp.32101063603599
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Baby Night-Caps,"New York: Appleton, 1862.",Stories,https://hdl.handle.net/2027/hvd.hn5f5n
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,The Fairy Night-Caps,"New York: D. Appleton & Co., 1861.",Stories,https://hdl.handle.net/2027/njp.32101076515335
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Grasshopper Pop-Guns,"New York: Sheldon & Co., 1864.",Poetry,https://hdl.handle.net/2027/nyp.33433005069632
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Night-Caps,"New York: Appleton, 1859.",Stories,https://hdl.handle.net/2027/hvd.hn6gp1
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,The New Night-Caps; Told to Charley,"New York: D. Appleton & Co., 1863.",Stories,https://hdl.handle.net/2027/njp.32101063603581
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,One Big Pop-Gun; Being the Second Book of the Series,"New York : Sheldon & Co., 1864.",Stories,https://hdl.handle.net/2027/wu.89098010028
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Funny Pop-Guns; Being the Fourth Book of the Series,"New York: Sheldon & Co., 1864.",Stories,https://hdl.handle.net/2027/uc1.aa0004756078
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Little Night-Caps,"New York: D. Appleton & Co., [186-?]",Stories,https://hdl.handle.net/2027/nyp.33433082524095
Aunt Fanny: Mrs. Fanny Barrow; Frances Elizabeth (Mease),Michigan,Pop-Guns; One Serious and One Funny; Being the First Book of the Series.,"New York: Sheldon & Co., 1864.",Stories,https://hdl.handle.net/2027/osu.32435017667221
"Aunt Fanny, Mrs. Fanny Barrow, Frances Elizabeth (Mease) Barrow",Michigan,Post-Office Pop-Guns; Being the Sixth Book of the Series,"New York: Sheldon & Co., 1869.",Novel,
Angeline A. Fuller,Michigan,The Venture,"Detroit, MI: J.N. Williams, 1883.",Poetry,https://hdl.handle.net/2027/nyp.33433075817399
Mrs. M. L. Rayne: Martha Louise Rayne,Michigan,"What Can a Woman Do?; or, Her Position in the Business and Literary World","Detroit, MI:  F.B. Dickerson & Co.,1885.","Poetry, Stories, Reference",https://hdl.handle.net/2027/mdp.39015011408542
Mrs. Mary E. Ireland,Maryland,Timothy; His Neighbors and His Friends,"Philadelphia: J.B. Lippincott & Co., 1882.",Stories,https://hdl.handle.net/2027/osu.32435079798377
Mrs. Mary F. Henderson,Missouri,"Practical Cooking and Dinner Giving; a treatise containing practical instructions in cooking; in the combination and serving of dishes : and in the fashionable modes of entertaining at breakfast, lunch, and dinner","New York: Harper & Brothers, 1876.",Cookbook,https://hdl.handle.net/2027/hvd.rsmcwp
Julia L. Sherwood,Missouri,"Memoir of Adiel Sherwood, D.D.","Philadelphia: Grant & Faires, 1884.","Memoir, Biography, History",https://brockvillehistoryhandbook.wordpress.com/2013/11/02/the-memoir-of-adiel-sherwood-1779-1874/
Mrs. T. K. Sharkey,Mississippi,Mate to Mate,"New York : G.P. Putnam's Sons, 1879.",Novel,https://hdl.handle.net/2027/uiug.30112062270571
Sarah A. Dorsey,Mississippi,"Recollections of Henry Watkins Allen; brigadier-general Confederate States army, ex-governor of Louisiana.","New York:  M. Doolady, 1866.","Memoir, Biography",https://hdl.handle.net/2027/nyp.33433082544754
Ellen E. Hebron,Mississippi,Songs from the South,"Baltimore: Eugene R. Smith, 1875.","Poetry, History",https://hdl.handle.net/2027/nyp.33433066601505
Sherwood Bonner,Mississippi,Suwanee River Tales,"Boston: Roberts Brothers, 1884.","Stories, History",https://hdl.handle.net/2027/osu.32435002086338
"Sallie B. Morgan, Sallie B. Greene Morgan",Mississippi,"Tahoe; or, Life in California; A Romance","Atlanta, Ga.: J. P. Harrison & Co., 1881.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t3pv6c91s
